trimestre,año,trim,ocupados_total_miles,parados_miles,activos_miles,tasa_paro,tasa_actividad,servicios_miles,industria_miles,construccion_miles,agricultura_miles,fuente
2008T1,2008,1,20402.3,2174.2,22576.5,9.63,59.35,12872.5,3209.7,2540.8,779.3,EPA INE
2008T2,2008,2,20425.1,2381.5,22806.6,10.44,59.76,13017.8,3216.1,2452.9,738.3,EPA INE
2008T3,2008,3,20346.3,2598.8,22945.1,11.33,60.04,12999.4,3196.2,2401.5,749.2,EPA INE
2008T4,2008,4,19856.8,3207.9,23064.7,13.91,60.13,12986.7,3145.9,2180.7,543.5,EPA INE
2009T1,2009,1,19090.8,4010.7,23101.5,17.36,60.15,13062.0,2994.4,1761.3,773.1,EPA INE
2010T1,2010,1,18394.2,4612.7,23006.9,20.05,59.83,13141.7,2710.7,1611.9,729.9,EPA INE
2011T1,2011,1,18151.7,4910.2,23061.8,21.29,59.88,13112.4,2603.7,1393.0,742.5,EPA INE
2012T1,2012,1,17433.2,5667.9,23101.1,24.55,59.94,13104.2,2486.2,1175.5,667.4,EPA INE
2013T1,2013,1,16634.7,6202.7,22837.4,27.16,59.68,12839.9,2363.2,1029.5,602.0,EPA INE
2013T4,2013,4,16758.2,5896.3,22654.5,26.03,59.43,12959.9,2321.5,989.0,487.7,EPA INE
2014T4,2014,4,17569.1,5457.7,23026.8,23.70,59.77,13442.6,2379.9,1029.4,717.2,EPA INE
2015T4,2015,4,18094.2,4779.5,22873.7,20.90,59.43,13772.0,2483.2,1073.7,765.3,EPA INE
2016T4,2016,4,18508.1,4237.8,22745.9,18.63,58.99,14072.6,2522.2,1075.8,837.5,EPA INE
2017T4,2017,4,19344.6,3766.7,23111.4,16.56,58.83,14625.0,2647.5,1156.7,915.3,EPA INE
2018T4,2018,4,19564.6,3289.0,22853.6,14.48,58.59,14921.4,2710.6,1221.4,711.3,EPA INE
2019T4,2019,4,19966.9,3191.9,23158.8,13.78,58.74,15302.8,2754.3,1271.3,738.6,EPA INE
2020T1,2020,1,19681.3,3313.0,22994.3,14.41,58.18,15066.0,2768.6,1264.8,581.8,EPA INE
2020T2,2020,2,18607.2,3368.0,21975.2,15.33,55.51,14140.7,2628.9,1124.6,712.9,EPA INE
2020T3,2020,3,19176.4,3722.9,22899.4,16.26,57.75,14620.1,2664.1,1130.0,762.3,EPA INE
2020T4,2020,4,19344.3,3719.8,23064.1,16.13,58.02,14774.1,2671.1,1196.7,702.4,EPA INE
2021T4,2021,4,20184.9,3103.8,23288.7,13.33,58.66,15466.5,2718.7,1316.9,682.8,EPA INE
2022T1,2022,1,20084.7,3174.7,23259.3,13.65,58.50,15391.5,2716.0,1241.4,735.7,EPA INE
2022T2,2022,2,20468.0,2919.4,23387.4,12.48,58.69,15694.9,2740.1,1287.9,745.1,EPA INE
2022T3,2022,3,20644.9,2980.2,23625.1,12.61,59.13,15834.1,2753.8,1338.9,718.0,EPA INE
2022T4,2022,4,20463.9,3024.0,23487.9,12.87,58.62,15639.9,2767.4,1325.1,731.4,EPA INE
2023T1,2023,1,20452.5,3127.8,23580.3,13.26,58.78,15703.0,2730.3,1283.4,735.9,EPA INE
2023T2,2023,2,20055.1,2762.5,22817.7,13.56,57.10,15388.7,2721.7,1240.9,703.8,EPA INE
2023T3,2023,3,21265.3,2855.2,24120.5,11.84,59.10,16322.0,2765.7,1376.8,800.8,EPA INE
2023T4,2023,4,21246.9,2841.3,24088.2,11.79,58.99,16320.8,2778.0,1389.4,758.7,EPA INE
2024T1,2024,1,21253.7,3019.3,24272.9,12.44,59.27,16240.8,2742.2,1483.2,787.5,EPA INE
2024T2,2024,2,21684.7,2755.3,24440.0,11.27,59.61,16648.5,2746.8,1480.4,808.9,EPA INE
2024T3,2024,3,21858.6,2630.7,24489.3,10.74,59.64,16762.4,2746.0,1487.8,862.4,EPA INE
2024T4,2024,4,21857.5,2595.6,24453.1,10.61,59.46,16753.5,2768.2,1503.0,832.8,EPA INE
2025T1,2025,1,21765.4,2789.1,24554.6,11.36,59.66,16690.9,2731.7,1493.5,849.3,EPA INE
2025T2,2025,2,22192.7,2553.3,24746.0,10.32,60.04,17033.9,2755.4,1484.7,918.6,EPA INE
2025T3,2025,3,22387.1,2613.2,25000.3,10.45,60.55,17073.0,2819.5,1517.3,977.3,EPA INE
2025T4,2025,4,22463.3,2477.1,24940.4,9.93,58.94,17151.3,2781.7,1519.6,1010.7,EPA INE
2026T1,2026,1,22293.0,2708.6,25001.6,10.83,58.86,16922.9,2809.8,1537.1,1023.2,EPA INE T1 2026
